IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"54.83.58.58","*.fcalatam.com.br","","*.fcalatam.com.br|*.digital-nonprod.fcalatam.com.br|*.fcalatam.com|fcalatam.com.br|digital-nonprod.fcalatam.com.br|fcagroup.com.br|*.fcagroup.com.br|*.jeep.com.br|fcalatam.com|*.fiat.com.br",""
"52.20.54.226","*.fcalatam.com.br","","*.fcalatam.com.br|*.digital-nonprod.fcalatam.com.br|*.fcalatam.com|fcalatam.com.br|digital-nonprod.fcalatam.com.br|fcagroup.com.br|*.fcagroup.com.br|*.jeep.com.br|fcalatam.com|*.fiat.com.br",""
"52.21.144.187","drivefca.com","","drivefca.com|e-shop.ram.com|www.drivefca.com|e-shop.fiatusa.com|dealeradmin.drivefca.com|e-shop.ramtrucks.com|als.drivefca.com|e-shop.dodge.com|e-shop.chrysler.com|e-shop.jeep.com",""
"52.21.145.28","*.fcalatam.com.br","","*.fcalatam.com.br|*.digital-nonprod.fcalatam.com.br|*.fcalatam.com|fcalatam.com.br|digital-nonprod.fcalatam.com.br|fcagroup.com.br|*.fcagroup.com.br|*.jeep.com.br|fcalatam.com|*.fiat.com.br",""
"52.22.191.227","*.fcalatam.com.br","","*.fcalatam.com.br|*.fcalatam.com|fcalatam.com.br|fcagroup.com.br|*.jeep.com.br|fcalatam.com|*.fcagroup.com.br|*.digital.fcalatam.com.br|digital.fcalatam.com.br|*.fiat.com.br",""
"3.73.17.69","aemstagems4-connect.alfaromeo.com","","aemstagems4-appdig-connect.dodge.com|aemstagems4-appdig-connect.wagoneer.com|aemstagems4-appdig-connectivity.alfaromeo.com|aemstagems4-appdig-connectivity.chrysler.com|aemstagems4-appdig-connectivity.fiat.com|aemstagems4-appdig-connectivity.jeep.com|aemstagems4-appdig-connectivity.maserati.com|aemstagems4-appdig-connectivity.ramtrucks.com|aemstagems4-brandconnect.stellantis.com|aemstagems4-connect.alfaromeo.com|aemstagems4-connect.chrysler.com|aemstagems4-connect.dodge.com|aemstagems4-connect.fiat.com|aemstagems4-connect.jeep.com|aemstagems4-connect.wagoneer.com|aemstagems4-connectivity.alfaromeo.com|aemstagems4-connectivity.chrysler.com|aemstagems4-connectivity.citroen.com|aemstagems4-connectivity.dsautomobiles.com|aemstagems4-connectivity.fiat.com|aemstagems4-connectivity.jeep.com|aemstagems4-connectivity.maserati.com|aemstagems4-connectivity.opel.com|aemstagems4-connectivity.peugeot.com|aemstagems4-connectivity.ramtrucks.com|aemstagems4-connectivity.vauxhall.com|aemstagems4-exve.stellantis.com|aemstagems4-fleet.fcagroup.com|aemstagems4-myuconnect.abarth.com|aemstagems4-myuconnect.fiatprofessional.com|aemstagems4-myuconnect.lancia.com|aemstagems4-myuconnect.ram.com|aemstagems4-myuconnectfleet.fcagroup.com|aemstagems4-spacewidgets.stellantis.com|aemstagems5-www.freedomofmobility.stellantis.com|aemstagems5-www.stellantis.com|aemstagems5-www.stellantis.ventures|aemstagems5.cmsvhr.fcagroup.com",""
"3.79.91.232","aemstagems4-connect.alfaromeo.com","","aemstagems4-appdig-connect.dodge.com|aemstagems4-appdig-connect.wagoneer.com|aemstagems4-appdig-connectivity.alfaromeo.com|aemstagems4-appdig-connectivity.chrysler.com|aemstagems4-appdig-connectivity.fiat.com|aemstagems4-appdig-connectivity.jeep.com|aemstagems4-appdig-connectivity.maserati.com|aemstagems4-appdig-connectivity.ramtrucks.com|aemstagems4-brandconnect.stellantis.com|aemstagems4-connect.alfaromeo.com|aemstagems4-connect.chrysler.com|aemstagems4-connect.dodge.com|aemstagems4-connect.fiat.com|aemstagems4-connect.jeep.com|aemstagems4-connect.wagoneer.com|aemstagems4-connectivity.alfaromeo.com|aemstagems4-connectivity.chrysler.com|aemstagems4-connectivity.citroen.com|aemstagems4-connectivity.dsautomobiles.com|aemstagems4-connectivity.fiat.com|aemstagems4-connectivity.jeep.com|aemstagems4-connectivity.maserati.com|aemstagems4-connectivity.opel.com|aemstagems4-connectivity.peugeot.com|aemstagems4-connectivity.ramtrucks.com|aemstagems4-connectivity.vauxhall.com|aemstagems4-exve.stellantis.com|aemstagems4-fleet.fcagroup.com|aemstagems4-myuconnect.abarth.com|aemstagems4-myuconnect.fiatprofessional.com|aemstagems4-myuconnect.lancia.com|aemstagems4-myuconnect.ram.com|aemstagems4-myuconnectfleet.fcagroup.com|aemstagems4-spacewidgets.stellantis.com|aemstagems5-www.freedomofmobility.stellantis.com|aemstagems5-www.stellantis.com|aemstagems5-www.stellantis.ventures|aemstagems5.cmsvhr.fcagroup.com",""
"54.208.79.7","*.fcalatam.com.br","","*.fcalatam.com.br|*.fcalatam.com|fcalatam.com.br|fcagroup.com.br|*.jeep.com.br|fcalatam.com|*.fcagroup.com.br|*.digital.fcalatam.com.br|digital.fcalatam.com.br|*.fiat.com.br",""
"54.209.186.210","*.fcalatam.com.br","","*.fcalatam.com.br|*.fcalatam.com|fcalatam.com.br|fcagroup.com.br|*.jeep.com.br|fcalatam.com|*.fcagroup.com.br|*.digital.fcalatam.com.br|digital.fcalatam.com.br|*.fiat.com.br",""
"15.237.161.176","batterysohcheck-preprod.stellantis.com","Stellantis N.V.","batterysohcheck-preprod.stellantis.com|batterysohcheckpp.peugeot.fr|batterysohcheckpp.citroen.fr|batterysohcheckpp.dsautomobiles.fr|batterysohcheckpp.opel.fr|batterysohcheckpp.peugeotisland.is|batterysohcheckpp.citroen.is|batterysohcheckpp.peugeot.ch|batterysohcheckpp.citroen.ch|batterysohcheckpp.dsautomobiles.ch|batterysohcheckpp.opel.ch|batterysohcheckpp.peugeot.co.uk|batterysohcheckpp.citroen.co.uk|batterysohcheckpp.vauxhall.co.uk|batterysohcheckpp.dsautomobiles.co.uk|batterysohcheckpp.fiat.co.uk|batterysohcheckpp.jeep.co.uk|batterysohcheckpp.fiatprofessional.co.uk|batterysohcheckpp.alfaromeo.co.uk|batterysohcheckpp.chrysler.com|batterysohcheckpp.jeep.com|batterysohcheckpp.dodge.com|batterysohcheckpp.ramtrucks.com|batterysohcheckpp.alfaromeousa.com|batterysohcheckpp.chrysler.ca|batterysohcheckpp.jeep.ca|batterysohcheckpp.dodge.ca|batterysohcheckpp.ramtruck.ca|batterysohcheckpp.alfaromeo.ca|batterysohcheckpp.fiat.fr|batterysohcheckpp.jeep.fr|batterysohcheckpp.fiatprofessional.fr|batterysohcheckpp.alfaromeo.fr|batterysohcheckpp.fiat.ch|batterysohcheckpp.jeep.ch|batterysohcheckpp.fiatprofessional.ch|batterysohcheckpp.alfaromeo.ch",""
